,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
378,vanylven,3163,855,1267,431,65,8,7 347,"86,5","4,5","80,6","84,7","4,6",69 461,107 727,103 555
379,vardo,2081,654,692,270,113,14,993,"75,6",5,"77,2","82,3","2,9",151 335,111 947,109 180
380,vefsn,13403,3341,4876,2173,493,56,19 447,"83,7","5,8",79,"83,3","0,6",87 450,93 126,92 616
381,vega,1232,403,379,180,39,6,6 086,"87,1","2,9",79,"83,3","-0,6",137 862,110 771,109 333
382,vegarshei,2093,446,758,325,63,4,8 899,"57,6","31,1","78,8","83,3","1,2",84 729,111 617,113 711
383,vennesla,14630,3586,5253,1907,359,76,30 195,"62,5","22,6","79,7","83,7","0,9",53 719,81 333,81 671
384,verdal,14933,3466,5580,2328,433,42,50 171,"85,6","4,9","79,8",84,"-0,4",83 612,82 315,82 707
385,verran,2449,738,916,305,44,16,4 518,"83,8","4,5","79,8",84,"1,4",123 350,106 727,104 124
386,vestby,17824,3422,5199,3357,1270,75,30 424,"67,5","12,3","80,5","84,3","5,5",91 989,73 368,69 557
387,vestnes,6536,1624,2438,910,222,73,13 294,"82,6","5,9","80,6","84,7","1,4",68 948,103 682,103 064
388,vestre-slidre,2135,488,855,310,77,10,9 200,"84,1","5,6","79,3","82,9","7,5",57 586,116 752,110 668
389,vestre-toten,13384,3631,4607,1981,403,48,26 073,"82,2","7,1","79,3","82,9","0,8",94 868,79 352,78 428
390,vestvagoy,11480,3187,3470,1779,410,60,22 429,80,"7,3",79,"83,3","-0,2",60 477,87 361,87 731
391,vevelstad,497,141,191,69,10,1,1 144,"81,5",6,79,"83,3",—,—,—,—
392,vik,2672,539,1088,397,126,11,11 400,"84,5",6,"80,3","85,2","2,3",97 802,119 797,122 337
393,vikna,4578,1260,1432,590,108,13,15 208,80,"8,1","79,8",84,"11,1",116 723,118 664,104 208
394,vindafjord,8743,1807,3369,1306,316,41,15 861,"80,8","6,2","80,1",84,"1,9",57 903,88 209,87 171
395,vinje,3723,771,1384,674,149,28,11 473,"78,1","8,5","79,1","82,8","2,7",130 779,146 216,146 532
396,volda,9197,1632,2709,2232,653,24,18 368,"78,1","9,5","80,6","84,7","0,7",116 480,100 466,100 455
397,voss,14606,2804,5272,2645,770,45,53 402,"82,7","5,8",80,"84,3","-0,5",54 018,90 649,91 777
398,vaeroy,732,326,185,77,12,7,2 580,"73,2","7,8",79,"83,3","1,1",71 027,127 598,127 713
399,vagan,9595,2502,3034,1653,377,51,18 425,73,"8,6",79,"83,3","0,7",78 458,94 002,90 038
400,vagsoy,5970,1331,2183,910,185,26,9 693,"81,7","7,2","80,3","85,2","0,3",119 584,94 437,95 127
401,vaga,3589,921,1373,497,130,16,9 776,"87,5","2,9","79,3","82,9","0,3",78 171,97 804,98 935
402,valer-ostfold,5593,1237,1866,849,188,13,6 248,"74,1",11,"79,1","82,8","-0,1",40 914,75 704,76 093
403,valer-hedmark,3705,1188,1320,508,83,14,16 435,"85,5",4,"78,9",83,-5,67 175,96 309,100 275
404,oksnes,4449,1581,1336,591,128,25,12 935,"79,8","7,3",79,"83,3","5,9",149 664,91 963,87 428
405,orland,5334,1287,1933,843,178,14,14 217,"83,6","5,2","80,1",84,"0,6",142 079,95 767,95 649
406,orskog,2250,458,758,457,107,10,2 820,"77,6","9,5","80,6","84,7","-1,9",147 446,98 367,98 727
407,orsta,10857,2391,3649,1941,353,34,22 688,"84,5","6,4","80,6","84,7","0,4",89 511,81 482,81 568
408,ostre-toten,14948,3842,5255,2355,553,68,43 249,"82,3","6,5","79,3","82,9",1,76 794,82 440,82 029
409,ovre-eiker,19117,4743,6132,3055,779,113,53 371,"71,5","13,4","79,7","83,6","1,1",55 568,71 204,69 660
410,oyer,5119,1198,1922,840,234,20,8 534,"78,1","8,3","79,3","82,9","3,4",106 976,100 071,101 946
411,oygarden,4889,1406,1600,571,117,19,9 599,"80,6","7,9",80,"84,3","6,2",85 249,125 816,116 150
412,oystre-slidre,3208,666,1280,510,149,10,12 210,"82,1","4,6","79,3","82,9","5,9",68 926,104 622,101 318
413,afjord,3340,838,1299,435,89,10,5 862,"89,2",3,"80,1",84,"4,7",88 369,110 796,106 096
414,al,4671,928,1782,785,189,18,14 130,77,10,"79,7","83,6","3,6",72 901,131 078,134 881
415,alesund,47998,9374,14035,10247,3199,233,84 580,"75,3","9,3","80,6","84,7","1,1",73 808,79 547,79 172
416,amli,1848,474,647,265,64,12,6 960,"70,7","10,9","78,8","83,3","1,4",92 912,113 877,116 064
417,amot,4407,1324,1456,720,134,16,8 819,"81,8","5,7","78,9",83,"-3,2",92 384,93 260,97 224
418,ardal,5245,1108,2264,758,204,12,10 504,"87,1","3,7","80,3","85,2","2,9",72 145,107 701,106 116
419,as,20335,3315,5368,4326,2727,85,50 934,"59,3","15,5","80,5","84,3","1,2",80 909,74 903,73 134
420,aseral,939,239,358,118,15,3,6 508,"72,8","13,5","79,7","83,7","12,2",84 033,182 914,177 133
421,asnes,7214,2326,2598,1018,170,38,15 321,"86,7",4,"78,9",83,"-0,2",62 958,96 178,95 748
