,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
217,moss,32726,7926,9987,5807,2196,270,67 650,"61,8","17,8","79,1","82,8","1,7",63 766,82 316,80 402
218,malselv,6805,1576,2295,1183,301,24,17 450,"84,8","4,2","79,6","83,9","-0,2",84 155,98 062,98 247
219,masoy,1235,447,386,149,47,8,3 163,"77,8","6,3","77,2","82,3","12,2",103 447,147 087,130 411
220,namdalseid,1576,392,644,210,37,4,4 514,"86,9","3,7","79,8",84,"4,2",127 310,119 635,113 919
221,namsos,13113,2938,4243,2456,566,68,18 987,"82,3","6,2","79,8",84,"1,3",71 840,96 826,95 114
222,namsskogan,871,290,321,107,18,2,1 530,"84,2","2,8","79,8",84,"3,8",134 037,172 969,165 603
223,nannestad,13682,3381,4325,1870,503,66,21 369,"67,5","14,1","80,5","84,3","2,8",72 565,68 841,65 770
224,narvik,18630,3915,6344,3521,1080,87,37 230,"78,7","6,6",79,"83,3","2,2",83 988,92 525,91 592
225,naustdal,2793,574,1056,443,96,9,12 119,"87,4","4,7","80,3","85,2","-0,6",128 230,98 678,98 913
226,nedre-eiker,24963,6556,7777,3912,945,162,45 800,"64,6","18,3","79,7","83,6","2,6",62 498,72 802,70 998
227,nes-buskerud,3315,866,1250,509,133,8,10 651,79,"9,3","79,7","83,6","-1,2",65 315,110 179,111 553
228,nes-akershus,21885,5776,7466,3004,768,100,33 163,"74,9","9,9","80,5","84,3","-0,2",44 322,71 727,71 708
229,nesna,1792,477,530,329,117,8,5 290,"70,3","8,5",79,"83,3","1,2",73 338,141 876,142 244
230,nesodden,19488,3068,4801,4442,2414,90,38 494,"60,8","13,1","80,5","84,3","3,2",52 788,71 888,69 917
231,nesset,2956,788,1175,376,69,12,5 036,"88,1","3,9","80,6","84,7","1,4",106 014,106 075,105 464
232,nissedal,1476,339,528,258,48,11,5 351,74,"11,2","79,1","82,8","-0,5",101 578,135 439,136 837
233,nittedal,24089,4664,6608,4637,1926,103,54 914,"68,1","12,6","80,5","84,3",2,51 372,73 635,72 750
234,nome,6538,1662,2392,1057,210,48,12 085,"75,6","9,2","79,1","82,8","0,5",89 168,105 142,104 802
235,nord-aurdal,6418,1534,2392,1057,241,39,20 288,"82,6","4,6","79,3","82,9","3,2",82 579,112 357,110 393
236,norddal,1645,396,630,259,65,1,8 570,83,"4,6","80,6","84,7","-3,1",151 560,125 909,131 218
237,nord-fron,5742,1590,2105,833,149,19,21 449,"85,9","4,7","79,3","82,9","-1,6",82 656,99 672,102 361
238,nordkapp,3218,1082,956,475,122,26,7 593,"76,5","7,3","77,2","82,3",7,101 253,113 821,103 257
239,nord-odal,5024,1765,1732,601,111,30,10 765,"85,7",6,"78,9",83,"-2,6",93 613,90 957,93 166
240,nordreisa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
241,nordre-land,6671,2107,2347,878,155,28,22 027,"86,4","4,4","79,3","82,9","0,9",44 875,96 121,95 692
242,nore-og-uvdal,2448,647,994,315,86,7,5 943,"81,8","6,6","79,7","83,6","-0,7",43 128,142 039,146 312
243,notodden,12682,3189,4274,2184,530,77,36 660,"73,9","12,6","79,1","82,8","-0,4",95 302,96 379,96 216
244,naeroy,5072,1435,1801,647,134,13,14 217,"82,1","7,1","79,8",84,14,88 435,119 165,102 267
245,odda,6745,1421,2821,1090,254,35,15 825,"80,2",8,80,"84,3","4,2",84 410,133 412,129 064
246,oppdal,6975,1645,2567,1085,279,36,15 060,"80,6","8,3","80,1",84,"4,3",39 052,93 898,90 682
247,oppegard,27394,4210,7181,6390,2967,113,84 499,"67,4","12,8","80,5","84,3",1,61 686,79 704,79 108
248,orkdal,12086,2766,4305,1764,424,54,22 104,84,6,"80,1",84,4,89 116,86 929,87 096
249,os-hordaland,20804,4020,6457,3710,1067,73,32 798,"76,9","8,3",80,"84,3","6,4",93 137,79 738,73 942
250,os-hedmark,1912,430,778,352,62,11,11 291,"80,6","6,8","78,9",83,"2,9",92 265,114 103,109 595
251,osen,947,296,359,127,13,2,2 439,"88,4","2,7","80,1",84,"9,9",86 695,139 485,125 980
252,oslo,681067,112683,144955,165753,111688,6357,1 143 812,"48,7","21,8","79,6","83,8","5,2",42 724,91 624,87 968
253,osteroy,8120,2008,2944,1059,251,23,29 541,"79,8","7,9",80,"84,3",—,—,—,—
254,overhalla,3879,756,1380,665,123,10,9 732,"85,6",6,"79,8",84,"1,1",97 538,92 358,90 287
255,porsanger-porsangu-porsanki,3944,1084,1292,694,133,25,8 824,"82,8","5,6","77,2","82,3","-5,5",62 848,99 942,105 477
256,porsgrunn,36224,8409,11987,6414,1994,151,78 787,"69,8","14,1","79,1","82,8","0,7",81 765,81 765,82 428
257,radoy,5091,1249,1946,670,143,27,9 286,"79,9","8,8",80,"84,3","3,6",55 425,90 973,88 731
258,rakkestad,8230,2332,2954,1014,205,55,18 151,"76,2","10,6","79,1","82,8","3,5",78 037,84 574,81 738
259,rana,26315,6647,8824,4488,983,69,56 545,"82,2","5,3",79,"83,3","5,5",63 030,84 077,80 626
260,randaberg,11053,2193,3440,1920,655,34,26 910,"76,3","9,9","80,1",84,"-0,2",100 431,83 316,85 418
261,rauma,7487,1759,2805,1139,231,29,25 732,"83,4","5,1","80,6","84,7","0,9",87 790,90 001,89 635
262,re,9730,2110,3483,1502,322,25,24 743,73,"12,7","79,3","83,7",-2,88 429,77 934,79 694
263,rendalen,1791,486,717,265,48,7,8 798,"85,7","2,6","78,9",83,"6,1",69 162,112 357,104 386
264,rennebu,2501,643,1047,317,63,8,3 422,"88,8","3,4","80,1",84,"3,7",87 753,113 103,109 298
265,rennesoy,4847,940,1607,715,259,14,10 327,"79,8","7,6","80,1",84,"2,5",94 411,85 666,83 760
266,rindal,2028,452,847,288,50,4,6 338,"90,3","3,9","80,6","84,7","-0,5",77 563,106 393,108 889
267,ringebu,4425,1225,1691,607,138,27,9 204,"83,7",5,"79,3","82,9","0,3",115 515,107 911,110 153
268,ringerike,30442,7595,10216,5166,1476,168,48 762,"74,3","9,6","79,7","83,6",—,61 988,—,—
269,ringsaker,34488,9079,11537,5322,1268,189,69 110,"80,9","6,7","78,9",83,"1,4",84 009,83 401,82 437
270,risor,6848,1645,2433,1198,298,40,16 828,"71,8",13,"78,8","83,3","0,2",92 681,96 743,95 600
271,roan,957,306,351,119,20,4,1 366,83,"3,7","80,1",84,"16,8",108 188,151 546,127 473
272,rollag,1419,343,549,221,51,7,3 707,"80,9","7,6","79,7","83,6","<a class=""definition tallet_285209"" href=""#forklaring-tall-285209"">Kommunens lånegjeld per innbygger: 61 889 kroner per 2018</a>",61 889,154 237,156 657
273,rygge,16145,3865,5216,2771,815,87,26 808,"71,1","13,2","79,1","82,8","0,5",64 558,73 720,73 023
274,raelingen,18161,3805,5358,3302,1118,109,26 251,"63,4","15,9","80,5","84,3","3,4",92 306,72 435,70 396
275,rodoy,1238,415,384,159,14,4,88,"78,8","11,5",79,"83,3","17,8",112 128,157 090,131 385
276,romskog,673,197,250,96,18,3,4 125,"78,9","7,6","79,1","82,8","-7,5",77 386,122 007,134 840
277,roros,5610,1103,2238,1038,286,24,20 117,"81,3","5,9","80,1",84,"2,7",73 650,98 831,95 791
278,rost,508,235,143,49,13,3,2 752,"86,6","2,4",79,"83,3","6,6",102 774,139 770,134 224
279,royken,22635,4249,6707,4363,1616,92,34 430,"67,8","12,7","79,7","83,6","0,7",20 694,79 060,79 302
280,rade,7542,1865,2540,1204,344,32,8 397,"73,7","12,4","79,1","82,8","1,8",63 615,79 411,77 885
281,raarvihke-royrvik,482,131,169,69,12,1,1 219,"84,4","4,1","79,8",84,"-0,7",231 685,204 714,200 751
282,salangen,2183,580,780,372,97,10,4 872,81,"3,3","79,6","83,9","4,6",129 001,159 292,150 180
283,saltdal,4657,1165,1699,755,138,27,7 330,"84,5","3,8",79,"83,3","0,9",71 390,112 560,109 532
284,samnanger,2465,549,935,375,80,13,3 972,"83,9","5,4",80,"84,3","1,4",84 940,92 678,91 884
285,sande-vestfold,9904,2129,3312,1602,403,43,38 177,"72,9","12,8","79,3","83,7","1,9",61 724,74 963,74 452
286,sande-more-og-romsdal,2493,701,891,349,79,9,5 079,"77,9","6,9","80,6","84,7","-1,3",91 397,99 589,101 796
287,sandefjord,63278,14544,20428,11043,3083,428,176 375,"67,9","13,3","79,3","83,7","4,2",21 481,76 876,75 391
288,sandnes,77246,15059,22384,13691,6022,417,133 749,"65,3","15,3","80,1",84,3,65 399,76 155,72 730
289,sandoy,1238,290,485,170,33,2,8 601,"80,5","5,1","80,6","84,7","-1,6",210 765,107 830,111 036
290,sarpsborg,55997,14918,18069,8923,1880,292,89 307,"68,2","16,1","79,1","82,8","0,6",58 365,76 350,75 314
291,sauda,4597,1020,1801,701,142,17,9 839,"83,2","6,3","80,1",84,"3,2",91 402,116 219,113 607
292,sauherad,4293,1023,1524,731,203,28,8 844,"73,7","11,2","79,1","82,8","1,2",77 900,100 363,99 136
